No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
1;Cabai Rawit Merah;01/07/2022;Jawa Barat;Kota Bandung;Pasar Kosambi;97086
2;Cabai Rawit Merah;01/08/2022;Jawa Barat;Kota Bandung;Pasar Kiara Condong;112517
3;Cabai Rawit Merah;01/09/2022;Jawa Barat;Kota Bandung;Pasar Kosambi;121883
4;Cabai Rawit Merah;01/10/2022;Jawa Barat;Kota Bandung;Pasar Kiara Condong;114129
5;Cabai Rawit Merah;01/11/2022;Jawa Barat;Kota Bandung;Pasar Kosambi;107974
6;Cabai Rawit Merah;01/12/2022;Jawa Barat;Kota Bandung;Pasar Kiara Condong;77486
7;Cabai Rawit Merah;01/01/2023;Jawa Barat;Kota Bandung;Pasar Kosambi;98860
8;Cabai Rawit Merah;01/02/2023;Jawa Barat;Kota Bandung;Pasar Kiara Condong;117067
9;Cabai Rawit Merah;01/03/2023;Jawa Barat;Kota Bandung;Pasar Kosambi;99433
10;Cabai Rawit Merah;01/04/2023;Jawa Barat;Kota Bandung;Pasar Kiara Condong;97201
11;Cabai Rawit Merah;01/05/2023;Jawa Barat;Kota Bandung;Pasar Kosambi;83316
12;Cabai Rawit Merah;01/06/2023;Jawa Barat;Kota Bandung;Pasar Kiara Condong;96416
13;Cabai Rawit Merah;01/07/2023;Jawa Barat;Kota Bandung;Pasar Kosambi;99072
14;Cabai Rawit Merah;01/08/2023;Jawa Barat;Kota Bandung;Pasar Kiara Condong;121772
15;Cabai Rawit Merah;01/09/2023;Jawa Barat;Kota Bandung;Pasar Kosambi;119664
16;Cabai Rawit Merah;01/10/2023;Jawa Barat;Kota Bandung;Pasar Kiara Condong;100165
17;Cabai Rawit Merah;01/11/2023;Jawa Barat;Kota Bandung;Pasar Kosambi;94815
18;Cabai Rawit Merah;01/12/2023;Jawa Barat;Kota Bandung;Pasar Kiara Condong;85630
19;Cabai Rawit Merah;01/01/2024;Jawa Barat;Kota Bandung;Pasar Kosambi;86942
20;Cabai Rawit Merah;01/02/2024;Jawa Barat;Kota Bandung;Pasar Kiara Condong;113866
21;Cabai Rawit Merah;01/03/2024;Jawa Barat;Kota Bandung;Pasar Kosambi;104730
22;Cabai Rawit Merah;01/04/2024;Jawa Barat;Kota Bandung;Pasar Kiara Condong;80834
23;Cabai Rawit Merah;01/05/2024;Jawa Barat;Kota Bandung;Pasar Kosambi;72209
24;Cabai Rawit Merah;01/06/2024;Jawa Barat;Kota Bandung;Pasar Kiara Condong;78790
25;Cabai Rawit Merah;01/07/2024;Jawa Barat;Kota Bandung;Pasar Kosambi;100613
26;Cabai Rawit Merah;01/08/2024;Jawa Barat;Kota Bandung;Pasar Kiara Condong;131250
27;Cabai Rawit Merah;01/09/2024;Jawa Barat;Kota Bandung;Pasar Kosambi;124736
28;Cabai Rawit Merah;01/10/2024;Jawa Barat;Kota Bandung;Pasar Kiara Condong;107351
29;Cabai Rawit Merah;01/11/2024;Jawa Barat;Kota Bandung;Pasar Kosambi;102319
30;Cabai Rawit Merah;01/12/2024;Jawa Barat;Kota Bandung;Pasar Kiara Condong;96638
31;Cabai Rawit Merah;01/01/2025;Jawa Barat;Kota Bandung;Pasar Kosambi;106867
32;Cabai Rawit Merah;01/02/2025;Jawa Barat;Kota Bandung;Pasar Kiara Condong;100762
33;Cabai Rawit Merah;01/03/2025;Jawa Barat;Kota Bandung;Pasar Kosambi;110936
34;Cabai Rawit Merah;01/04/2025;Jawa Barat;Kota Bandung;Pasar Kiara Condong;79051
35;Cabai Rawit Merah;01/05/2025;Jawa Barat;Kota Bandung;Pasar Kosambi;84000
36;Cabai Rawit Merah;01/06/2025;Jawa Barat;Kota Bandung;Pasar Kiara Condong;83726
37;Cabai Rawit Merah;01/07/2025;Jawa Barat;Kota Bandung;Pasar Kosambi;104652
38;Cabai Rawit Merah;01/08/2025;Jawa Barat;Kota Bandung;Pasar Kiara Condong;111703
39;Cabai Rawit Merah;01/09/2025;Jawa Barat;Kota Bandung;Pasar Kosambi;108493
40;Cabai Rawit Merah;01/10/2025;Jawa Barat;Kota Bandung;Pasar Kiara Condong;105749
41;Cabai Rawit Merah;01/11/2025;Jawa Barat;Kota Bandung;Pasar Kosambi;97946
42;Cabai Rawit Merah;01/12/2025;Jawa Barat;Kota Bandung;Pasar Kiara Condong;94295
